,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,num_user_for_reviews,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,movie_facebook_likes,profit,return_on_investment_perc
337,Peter Jackson,308.0,135.0,0.0,310.0,AJ Michalka,873.0,43982842.0,Michael Imperioli,The Lovely Bones ,125109.0,2370.0,Tom McCarthy,1.0,1970s|afterlife|heaven|pedophile|rape,593.0,USA,PG-13,65000000.0,2009.0,560.0,6.7,16000.0,-21017158.0,-32.33408923076923
338,Andrew Stanton,301.0,100.0,475.0,799.0,Stephen Root,1000.0,380838870.0,Alexander Gould,Finding Nemo ,692482.0,5641.0,Brad Garrett,0.0,great barrier reef|protective father|separation from family|shark|short term memory loss,866.0,USA,G,94000000.0,2003.0,939.0,8.2,11000.0,286838870.0,305.1477340425532
339,Peter Jackson,328.0,192.0,0.0,416.0,Billy Boyd,5000.0,377019252.0,Orlando Bloom,The Lord of the Rings: The Return of the King ,1215718.0,6434.0,Bernard Hill,2.0,battle|epic|king|orc|ring,3189.0,USA,PG-13,94000000.0,2003.0,857.0,8.9,16000.0,283019252.0,301.0843106382979
340,Peter Jackson,294.0,172.0,0.0,857.0,Orlando Bloom,16000.0,340478898.0,Christopher Lee,The Lord of the Rings: The Two Towers ,1100446.0,23052.0,Billy Boyd,1.0,epic|evil wizard|middle earth|ring|wizard,2417.0,USA,PG-13,94000000.0,2002.0,5000.0,8.7,10000.0,246478898.0,262.21159361702126
341,Sergey Bodrov,175.0,102.0,44.0,766.0,Djimon Hounsou,12000.0,17176900.0,Jeff Bridges,Seventh Son ,54501.0,17098.0,Olivia Williams,4.0,apprentice|demon|exorcism|master apprentice relationship|witch,154.0,USA,PG-13,95000000.0,2014.0,3000.0,5.5,16000.0,-77823100.0,-81.91905263157895
342,Simon West,199.0,100.0,165.0,240.0,Noah Taylor,11000.0,131144183.0,Angelina Jolie Pitt,Lara Croft: Tomb Raider ,157016.0,12150.0,Chris Barrie,1.0,illuminati|planetary alignment|time|tomb|tomb raider,824.0,USA,PG-13,115000000.0,2001.0,509.0,5.7,0.0,16144183.0,14.038419999999999
343,Wally Pfister,355.0,119.0,0.0,968.0,Morgan Freeman,40000.0,23014504.0,Johnny Depp,Transcendence ,172707.0,54031.0,Clifton Collins Jr.,1.0,artificial intelligence|consciousness|power outage|scientist|technology,462.0,UK,PG-13,100000000.0,2014.0,11000.0,6.3,37000.0,-76985496.0,-76.985496
344,Joe Johnston,198.0,92.0,394.0,527.0,Trevor Morgan,693.0,181166115.0,Michael Jeter,Jurassic Park III ,219501.0,2574.0,Alessandro Nivola,0.0,dinosaur|island|jurassic park|paleontologist|search,1236.0,USA,PG-13,93000000.0,2001.0,595.0,5.9,0.0,88166115.0,94.80227419354839
345,Rupert Wyatt,529.0,105.0,81.0,779.0,David Oyelowo,11000.0,176740650.0,James Franco,Rise of the Planet of the Apes ,403836.0,13118.0,Tyler Labine,0.0,alzheimer's disease|ape|chimpanzee|fire|when animals attack,646.0,USA,PG-13,93000000.0,2011.0,1000.0,7.6,47000.0,83740650.0,90.04370967741936
346,Mark Waters,198.0,107.0,70.0,330.0,Tod Fennell,770.0,71148699.0,Martin Short,The Spiderwick Chronicles ,68935.0,1614.0,Joan Plowright,0.0,actor playing multiple roles|brownie the creature|closing credits sequence|family relationships|magical creature,125.0,USA,PG,90000000.0,2008.0,419.0,6.6,0.0,-18851301.0,-20.94589
347,John Moore,412.0,101.0,212.0,476.0,Cole Hauser,13000.0,67344392.0,Bruce Willis,A Good Day to Die Hard ,165618.0,15481.0,Megalyn Echikunwoke,2.0,bomb|cia|courthouse|escape|russian,503.0,USA,R,92000000.0,2013.0,787.0,5.3,66000.0,-24655608.0,-26.799573913043478
348,John Lee Hancock,106.0,137.0,102.0,877.0,Marc Blucas,2000.0,22406362.0,Dennis Quaid,The Alamo ,16832.0,5780.0,Jordi Mollà,0.0,army|dictator|general|texan|texas,267.0,USA,PG-13,107000000.0,2004.0,973.0,6.0,701.0,-84593638.0,-79.05947476635514
349,Brad Bird,283.0,115.0,663.0,55.0,Craig T. Nelson,1000.0,261437578.0,Holly Hunter,The Incredibles ,479166.0,1901.0,Lou Romano,0.0,hero|island|lawsuit|secret|superhero,815.0,USA,PG,92000000.0,2004.0,723.0,8.0,0.0,169437578.0,184.1712804347826
350,Renny Harlin,61.0,124.0,212.0,810.0,Frank Langella,1000.0,11000000.0,Christopher Masterson,Cutthroat Island ,21102.0,3611.0,Matthew Modine,3.0,latin|pirate|pirate ship|treasure|treasure map,169.0,USA,PG-13,98000000.0,1995.0,903.0,5.6,1000.0,-87000000.0,-88.77551020408163
351,Chris Columbus,217.0,118.0,0.0,1000.0,Rosario Dawson,8000.0,88761720.0,Logan Lerman,Percy Jackson & the Olympians: The Lightning Thief ,141179.0,14024.0,Steve Coogan,0.0,greek|lightning|lightning bolt|poseidon|teenager,419.0,UK,PG,95000000.0,2010.0,3000.0,5.9,9000.0,-6238280.0,-6.56661052631579
352,Barry Sonnenfeld,175.0,98.0,188.0,602.0,Rip Torn,10000.0,250147615.0,Will Smith,Men in Black ,403014.0,12998.0,Linda Fiorentino,0.0,alien|box office hit|flying saucer|laser gun|wisecrack humor,289.0,USA,PG-13,90000000.0,1997.0,826.0,7.3,0.0,160147615.0,177.94179444444444
353,John Lasseter,191.0,82.0,487.0,967.0,John Ratzenberger,15000.0,245823397.0,Tom Hanks,Toy Story 2 ,385871.0,21275.0,Wayne Knight,2.0,collector|dog|friend|rescue|toy,515.0,USA,G,90000000.0,1999.0,1000.0,7.9,0.0,155823397.0,173.13710777777777
354,Tony Scott,316.0,98.0,12000.0,1000.0,Rosario Dawson,18000.0,81557479.0,Denzel Washington,Unstoppable ,149947.0,25780.0,Ethan Suplee,1.0,freight train|race against time|runaway train|train|train engineer,326.0,USA,PG-13,100000000.0,2010.0,3000.0,6.8,18000.0,-18442521.0,-18.442521
355,Brett Ratner,127.0,90.0,420.0,141.0,John Lone,191.0,226138454.0,Mei Melançon,Rush Hour 2 ,160440.0,664.0,Harris Yulin,2.0,boat|gang|hong kong|triad|vacation,394.0,USA,PG-13,90000000.0,2001.0,165.0,6.6,0.0,136138454.0,151.26494888888888
356,Robert Zemeckis,185.0,130.0,0.0,568.0,Amber Valletta,11000.0,155370362.0,Harrison Ford,What Lies Beneath ,98403.0,12890.0,Miranda Otto,0.0,ghost|haunted house|research|secret|vermont,683.0,USA,PG-13,100000000.0,2000.0,627.0,6.6,0.0,55370362.0,55.37036199999999
357,Phil Lord,191.0,90.0,97.0,56.0,Bobb'e J. Thompson,622.0,124870275.0,Will Forte,Cloudy with a Chance of Meatballs ,152601.0,1227.0,Al Roker,1.0,food|giant food|mayor|sardine|weather,156.0,USA,PG,100000000.0,2009.0,526.0,7.0,0.0,24870275.0,24.870275
358,Carlos Saldanha,188.0,94.0,107.0,117.0,Maile Flanagan,835.0,196573705.0,Denis Leary,Ice Age: Dawn of the Dinosaurs ,166791.0,1258.0,Kelly Keaton,0.0,egg|lost world|rescue|squirrel|weasel,132.0,USA,PG,90000000.0,2009.0,256.0,7.0,0.0,106573705.0,118.41522777777777
359,Ben Stiller,362.0,114.0,0.0,423.0,Adrian Martinez,3000.0,58229120.0,Adam Scott,The Secret Life of Walter Mitty ,236421.0,5095.0,Joey Slotnick,1.0,daydream|life magazine|magazine|photographer|snow leopard,515.0,USA,PG,90000000.0,2013.0,806.0,7.3,70000.0,-31770880.0,-35.300977777777774
360,McG,181.0,94.0,368.0,466.0,LL Cool J,13000.0,125305545.0,Bill Murray,Charlie's Angels ,145350.0,15419.0,Kelly Lynch,0.0,booty shake|box office hit|duct tape over mouth|first part|martial arts,643.0,USA,PG-13,92000000.0,2000.0,1000.0,5.5,0.0,33305545.0,36.20167934782609
361,Martin Scorsese,352.0,151.0,17000.0,1000.0,Matt Damon,29000.0,132373442.0,Leonardo DiCaprio,The Departed ,873649.0,45648.0,Ray Winstone,0.0,boston|mole|police|undercover|undercover cop,2054.0,USA,R,90000000.0,2006.0,13000.0,8.5,29000.0,42373442.0,47.08160222222222
362,Tony Bancroft,143.0,88.0,7.0,484.0,Harvey Fierstein,2000.0,120618403.0,Ming-Na Wen,Mulan ,171792.0,4478.0,June Foray,0.0,based on poem|based on true story|china|one word title|the huns,222.0,USA,G,90000000.0,1998.0,500.0,7.5,12000.0,30618403.0,34.02044777777778
363,Ben Stiller,308.0,121.0,0.0,918.0,Steve Coogan,21000.0,110416702.0,Robert Downey Jr.,Tropic Thunder ,307539.0,23484.0,Brandon T. Jackson,3.0,film director|parody|spoof|vietnam|written and directed by cast member,577.0,USA,R,92000000.0,2008.0,1000.0,7.0,0.0,18416702.0,20.018154347826087
364,David Fincher,517.0,158.0,21000.0,585.0,Goran Visnjic,18000.0,102515793.0,Robin Wright,The Girl with the Dragon Tattoo ,330152.0,20388.0,Joely Richardson,1.0,computer hacker|hacker|investigation|journalist|punk,632.0,USA,R,90000000.0,2011.0,1000.0,7.8,54000.0,12515793.0,13.906436666666666
365,John McTiernan,148.0,128.0,323.0,489.0,Aldis Hodge,13000.0,100012500.0,Bruce Willis,Die Hard with a Vengeance ,299258.0,14274.0,Kevin Chamberlin,1.0,bomb|detective|new york city|police|terrorist,346.0,USA,R,90000000.0,1995.0,559.0,7.6,0.0,10012500.0,11.125
366,Guy Ritchie,415.0,128.0,0.0,727.0,Eddie Marsan,21000.0,209019489.0,Robert Downey Jr.,Sherlock Holmes ,477300.0,23996.0,Robert Maillet,3.0,black magic|bridge construction|professor moriarty|scotland yard inspector|sherlock holmes,621.0,USA,PG-13,90000000.0,2009.0,979.0,7.6,20000.0,119019489.0,132.24387666666667
368,Gary Trousdale,146.0,95.0,21.0,503.0,Jim Varney,12000.0,84037039.0,Leonard Nimoy,Atlantis: The Lost Empire ,72591.0,15237.0,Cree Summer,0.0,atlantis|crew|expedition|journal|museum,289.0,USA,PG,120000000.0,2001.0,802.0,6.8,0.0,-35962961.0,-29.969134166666667
369,Walt Becker,70.0,92.0,12.0,1000.0,Joshua Mikel,35000.0,85884815.0,Bella Thorne,Alvin and the Chipmunks: The Road Chip ,9418.0,38450.0,Jesse McCartney,0.0,chipmunk|highway travel|on the road|plane|road movie,53.0,USA,PG,90000000.0,2015.0,1000.0,5.0,0.0,-4115185.0,-4.572427777777778
370,Bryan Singer,269.0,121.0,0.0,919.0,Tom Wilkinson,10000.0,83077470.0,Tom Cruise,Valkyrie ,183247.0,14165.0,Thomas Kretschmann,0.0,american actor playing foreigner|assassination|conspiracy|military|nazis,440.0,USA,PG-13,75000000.0,2008.0,1000.0,7.1,0.0,8077470.0,10.769960000000001
371,Dennis Dugan,198.0,113.0,221.0,503.0,Sayed Badreya,11000.0,100018837.0,Adam Sandler,You Don't Mess with the Zohan ,156348.0,13446.0,Kevin Nealon,0.0,hair stylist|jew|landlord|muslim|palestinian,380.0,USA,PG-13,90000000.0,2008.0,600.0,5.5,0.0,10018837.0,11.13204111111111
372,Chris Columbus,253.0,106.0,0.0,1000.0,Adam Sandler,22000.0,78747585.0,Peter Dinklage,Pixels ,89770.0,35367.0,Josh Gad,0.0,alien|arcade game|chase|driving in reverse|video gamer,342.0,USA,PG-13,88000000.0,2015.0,11000.0,5.6,39000.0,-9252415.0,-10.514107954545453
373,Steven Spielberg,281.0,146.0,14000.0,681.0,William Hurt,3000.0,78616689.0,Haley Joel Osment,A.I. Artificial Intelligence ,238747.0,6217.0,Kevin Sussman,0.0,affection|boy|fairy|future|robot,2153.0,USA,PG-13,100000000.0,2001.0,882.0,7.1,11000.0,-21383311.0,-21.383311
374,Rob Minkoff,122.0,88.0,50.0,441.0,Rachael Harris,691.0,75817994.0,Marsha Thomason,The Haunted Mansion ,32049.0,2622.0,Marc John Jefferies,0.0,arachnophobia|crystal ball|ghost|haunted house|thunderstorm,179.0,USA,PG,90000000.0,2003.0,569.0,4.9,988.0,-14182006.0,-15.757784444444445
375,Robert Zemeckis,159.0,150.0,0.0,135.0,Tom Skerritt,11000.0,100853835.0,Matthew McConaughey,Contact ,200556.0,12289.0,Larry King,2.0,message from outer space|religion|religion versus science|scientist|universe,611.0,USA,PG,90000000.0,1997.0,1000.0,7.4,15000.0,10853835.0,12.059816666666666
376,Paul Verhoeven,180.0,119.0,719.0,423.0,Kim Dickens,833.0,73209340.0,Greg Grunberg,Hollow Man ,101834.0,2356.0,Joey Slotnick,0.0,experiment|research|scientist|suburb|surrealism,628.0,USA,R,95000000.0,2000.0,624.0,5.7,0.0,-21790660.0,-22.937536842105263
377,Sydney Pollack,227.0,128.0,521.0,249.0,George Harris,591.0,72515360.0,Curtiss Cook,The Interpreter ,86152.0,2100.0,Michael Wright,1.0,african|assassination|dialect|interpreter|threat,411.0,UK,PG-13,80000000.0,2005.0,249.0,6.4,0.0,-7484640.0,-9.3558
378,Thor Freudenthal,183.0,106.0,87.0,918.0,Leven Rambin,8000.0,68558662.0,Logan Lerman,Percy Jackson: Sea of Monsters ,86627.0,10882.0,Brandon T. Jackson,0.0,golden fleece|half brother|magical tree|sea|tree,204.0,USA,PG,90000000.0,2013.0,956.0,5.9,28000.0,-21441338.0,-23.823708888888888
379,Jan de Bont,157.0,117.0,101.0,3000.0,Angelina Jolie Pitt,18000.0,65653758.0,Gerard Butler,Lara Croft Tomb Raider: The Cradle of Life ,102747.0,33154.0,Djimon Hounsou,1.0,duology|female hero|female lead|orb|pandora's box,316.0,USA,PG-13,95000000.0,2003.0,11000.0,5.5,0.0,-29346242.0,-30.890781052631578
380,Jon M. Chu,196.0,129.0,209.0,886.0,Morgan Freeman,11000.0,64685359.0,Daniel Radcliffe,Now You See Me 2 ,40862.0,23031.0,Sanaa Lathan,6.0,card trick|london england|magician|rain machine|rooftop,139.0,USA,PG-13,90000000.0,2016.0,11000.0,6.9,15000.0,-25314641.0,-28.127378888888888
381,Phillip Noyce,64.0,116.0,176.0,84.0,Michael Byrne,192.0,61355436.0,Alun Armstrong,The Saint ,52136.0,475.0,Velibor Topic,0.0,cold fusion|disguise|energy|fusion|the saint,184.0,USA,PG-13,68000000.0,1997.0,117.0,6.2,0.0,-6644564.0,-9.771417647058824
382,Tony Scott,142.0,114.0,12000.0,307.0,Stephen Dillane,11000.0,26871.0,Brad Pitt,Spy Game ,121259.0,12499.0,Catherine McCormack,2.0,china|cia|cold war|friendship|retirement,361.0,Others,R,92000000.0,2001.0,577.0,7.0,0.0,-91973129.0,-99.97079239130436
383,Brian De Palma,181.0,114.0,0.0,281.0,Connie Nielsen,3000.0,60874615.0,Don Cheadle,Mission to Mars ,60467.0,4902.0,Kim Delaney,0.0,astronaut|mars|mars the planet|outer space|zero gravity,949.0,USA,PG,90000000.0,2000.0,933.0,5.6,0.0,-29125385.0,-32.361538888888894
384,Carlos Saldanha,240.0,96.0,107.0,350.0,Wanda Sykes,11000.0,143618384.0,Anne Hathaway,Rio ,165333.0,12071.0,Will.i.am,0.0,bird|brazilian|cockatoo|macaw|minnesota,186.0,USA,G,90000000.0,2011.0,560.0,7.0,19000.0,53618384.0,59.57598222222222
385,Chris Columbus,93.0,132.0,0.0,957.0,Oliver Platt,49000.0,58220776.0,Robin Williams,Bicentennial Man ,87785.0,55254.0,John Michael Higgins,0.0,23rd century|android|artificial intelligence|dual role|robot,362.0,USA,PG,100000000.0,1999.0,1000.0,6.8,0.0,-41779224.0,-41.779224
386,Mick Jackson,84.0,104.0,81.0,612.0,Anne Heche,3000.0,47474112.0,Don Cheadle,Volcano ,58227.0,5062.0,Gaby Hoffmann,0.0,earthquake|fire|lava|rescue|volcano,181.0,USA,PG-13,90000000.0,1997.0,643.0,5.4,2000.0,-42525888.0,-47.25098666666667
387,Alan J. Pakula,66.0,111.0,79.0,2000.0,Brad Pitt,11000.0,42877165.0,Harrison Ford,The Devil's Own ,45602.0,26088.0,Natascha McElhone,0.0,friendship|murder|northern ireland|police officer|terrorist,114.0,USA,R,86000000.0,1997.0,11000.0,6.1,979.0,-43122835.0,-50.14283139534884
388,Kathryn Bigelow,136.0,138.0,0.0,123.0,Christian Camargo,14000.0,35168677.0,Liam Neeson,K-19: The Widowmaker ,49311.0,15149.0,Lex Shrapnel,1.0,courage|radiation sickness|radioactive contamination|sea|test launch,278.0,UK,PG-13,100000000.0,2002.0,602.0,6.7,0.0,-64831323.0,-64.831323
390,John Milius,166.0,129.0,468.0,183.0,Mako,919.0,37567440.0,William Smith,Conan the Barbarian ,113065.0,2024.0,Sandahl Bergman,0.0,actual animal killed|cult|evil sorcerer|gladiator|warlord,337.0,USA,R,20000000.0,1982.0,691.0,6.9,0.0,17567440.0,87.83720000000001
391,Ron Howard,201.0,144.0,2000.0,537.0,Bruce McGill,680.0,61644321.0,Paddy Considine,Cinderella Man ,148238.0,2523.0,Rosemarie DeWitt,0.0,boxer|boxing|dream|great depression|love,529.0,USA,PG-13,88000000.0,2005.0,655.0,8.0,0.0,-26355679.0,-29.949635227272726
392,Andrey Konchalovskiy,47.0,110.0,96.0,554.0,Nathan Lane,887.0,190562.0,Shirley Henderson,The Nutcracker in 3D ,2508.0,2728.0,Richard E. Grant,0.0,box office flop|christmas|christmas eve|critically bashed|toy comes to life,24.0,UK,PG,90000000.0,2010.0,886.0,4.4,788.0,-89809438.0,-99.78826444444444
393,Gary Ross,175.0,140.0,378.0,599.0,Michael Angarano,12000.0,120147445.0,Jeff Bridges,Seabiscuit ,57661.0,13808.0,Michael O'Neill,0.0,horse|horse racing|jockey|limp|seabiscuit,455.0,USA,PG-13,87000000.0,2003.0,947.0,7.3,0.0,33147445.0,38.10051149425288
394,Jan de Bont,114.0,113.0,101.0,848.0,Alan Ruck,22000.0,241688385.0,Philip Seymour Hoffman,Twister ,144053.0,26239.0,Jami Gertz,0.0,device|disaster|divorce|storm|tornado,395.0,USA,PG-13,92000000.0,1996.0,946.0,6.3,0.0,149688385.0,162.70476630434783
396,Robert Zemeckis,221.0,143.0,0.0,272.0,Paul Sanchez,15000.0,233630478.0,Tom Hanks,Cast Away ,394317.0,15838.0,Nick Searcy,1.0,christmas|island|love|survival|talking to inanimate object,1051.0,USA,PG-13,90000000.0,2000.0,410.0,7.7,23000.0,143630478.0,159.58942000000002
397,George Miller,206.0,108.0,750.0,971.0,Hugh Jackman,49000.0,197992827.0,Robin Williams,Happy Feet ,132501.0,70996.0,Elizabeth Daily,0.0,dance|emperor penguin|friend|penguin|song,548.0,USA,PG,100000000.0,2006.0,20000.0,6.5,0.0,97992827.0,97.992827
398,Paul Greengrass,239.0,108.0,521.0,129.0,Joan Allen,13000.0,176049130.0,Matt Damon,The Bourne Supremacy ,348232.0,14161.0,Oksana Akinshina,1.0,assassin|car chase|cia|hidden truth|one against many,806.0,USA,PG-13,75000000.0,2004.0,805.0,7.8,0.0,101049130.0,134.73217333333335
399,Wolfgang Petersen,142.0,124.0,249.0,936.0,Gary Oldman,11000.0,172620724.0,Harrison Ford,Air Force One ,146134.0,23603.0,Dean Stockwell,1.0,ex soldier|hijacker|hostage|president|terrorist,393.0,USA,R,85000000.0,1997.0,10000.0,6.4,0.0,87620724.0,103.08320470588235
400,Steven Soderbergh,186.0,116.0,0.0,471.0,Bernie Mac,11000.0,183405771.0,Brad Pitt,Ocean's Eleven ,402645.0,13028.0,Elliott Gould,4.0,card dealer|casino|criminal mastermind|recruiting|ulcer,845.0,USA,PG-13,85000000.0,2001.0,1000.0,7.8,0.0,98405771.0,115.77149529411766
401,Paul W.S. Anderson,228.0,110.0,545.0,5000.0,Logan Lerman,14000.0,20315324.0,Milla Jovovich,The Three Musketeers ,88542.0,27694.0,Orlando Bloom,8.0,box office flop|cardinal richelieu|critically bashed|duel|musketeer,254.0,Others,PG-13,75000000.0,2011.0,8000.0,5.8,19000.0,-54684676.0,-72.91290133333334
402,Genndy Tartakovsky,256.0,91.0,266.0,11000.0,Adam Sandler,12000.0,148313048.0,Steve Buscemi,Hotel Transylvania ,164148.0,37142.0,Jon Lovitz,2.0,dracula|hotel|invisible man|monster|transylvania,168.0,USA,PG,85000000.0,2012.0,11000.0,7.1,28000.0,63313048.0,74.48593882352941
403,Kevin Lima,222.0,107.0,36.0,118.0,Teala Dunn,283.0,127706877.0,Jeff Bennett,Enchanted ,142496.0,662.0,Fred Tatasciore,2.0,fairy tale|lawyer|love|new york|prince,399.0,USA,PG,85000000.0,2007.0,142.0,7.1,0.0,42706877.0,50.243384705882356
405,Daniel Espinosa,298.0,115.0,79.0,820.0,Ryan Reynolds,18000.0,126149655.0,Denzel Washington,Safe House ,166693.0,36237.0,Sam Shepard,1.0,cia|cia agent|consulate|on the run|safe house,276.0,USA,R,85000000.0,2012.0,16000.0,6.8,19000.0,41149655.0,48.41135882352941
406,Kevin Lima,84.0,100.0,36.0,439.0,Eric Idle,2000.0,66941559.0,Ioan Gruffudd,102 Dalmatians ,26413.0,4182.0,Jim Carter,1.0,dog|parole|parole officer|prison|puppy,77.0,USA,G,85000000.0,2000.0,795.0,4.8,372.0,-18058441.0,-21.245224705882354
407,Brett Ratner,236.0,104.0,420.0,535.0,Gabourey Sidibe,2000.0,78009155.0,Matthew Broderick,Tower Heist ,110073.0,3768.0,Judd Hirsch,5.0,apartment|fbi|fraud|heist|manager,194.0,USA,PG-13,75000000.0,2011.0,906.0,6.2,0.0,3009155.0,4.012206666666667
408,Nancy Meyers,157.0,138.0,278.0,213.0,Rufus Sewell,14000.0,63224849.0,Kate Winslet,The Holiday ,182757.0,17423.0,Sarah Parish,3.0,book|composer|house|love|self esteem,483.0,USA,PG-13,85000000.0,2006.0,3000.0,6.9,19000.0,-21775151.0,-25.617824705882352
409,Tony Scott,81.0,140.0,12000.0,619.0,Jake Busey,10000.0,111544445.0,Will Smith,Enemy of the State ,188116.0,11951.0,Lisa Bonet,4.0,congressman|lawyer|nsa|on the run|surveillance,415.0,USA,R,90000000.0,1998.0,660.0,7.3,0.0,21544445.0,23.938272222222224
410,Nancy Meyers,187.0,120.0,278.0,963.0,Hunter Parrish,11000.0,112703470.0,Meryl Streep,It's Complicated ,69860.0,15226.0,Zoe Kazan,2.0,affair|divorce|graduation|vomiting|watching television,214.0,USA,R,85000000.0,2009.0,2000.0,6.6,0.0,27703470.0,32.59231764705882
411,Steven Soderbergh,238.0,122.0,0.0,11000.0,Matt Damon,14000.0,117144465.0,Al Pacino,Ocean's Thirteen ,256928.0,43499.0,Brad Pitt,3.0,casino|heist|manmade earthquake|revenge|tunnel boring machine,288.0,USA,PG-13,85000000.0,2007.0,13000.0,6.9,0.0,32144465.0,37.817017647058826
412,Roger Allers,107.0,83.0,28.0,624.0,Debra Messing,4000.0,84303558.0,Jon Favreau,Open Season ,65270.0,6081.0,Jane Krakowski,1.0,bear|deer|forest|grizzly bear|hunter,100.0,USA,PG,85000000.0,2006.0,650.0,6.2,863.0,-696442.0,-0.8193435294117648
413,Neil Burger,459.0,139.0,168.0,1000.0,Theo James,14000.0,150832203.0,Kate Winslet,Divergent ,341058.0,22226.0,Mekhi Phifer,2.0,army|brother sister relationship|dystopia|father son relationship|narrated by character,713.0,USA,PG-13,85000000.0,2014.0,5000.0,6.7,49000.0,65832203.0,77.4496505882353
414,Jean-Jacques Annaud,187.0,131.0,218.0,29.0,Gabriel Thomson,5000.0,51396781.0,Bob Hoskins,Enemy at the Gates ,188887.0,5103.0,Clemens Schick,1.0,battle|german|russian|sniper|stalingrad,662.0,USA,R,68000000.0,2001.0,35.0,7.6,0.0,-16603219.0,-24.416498529411765
415,Peter Berg,151.0,104.0,532.0,557.0,Rosario Dawson,12000.0,47592825.0,Dwayne Johnson,The Rundown ,82731.0,16930.0,Ewen Bremner,1.0,amazon|bounty hunter|fight|hunter|jungle,255.0,USA,PG-13,85000000.0,2003.0,3000.0,6.7,0.0,-37407175.0,-44.00844117647058
416,John McTiernan,80.0,130.0,323.0,330.0,Tom Noonan,670.0,50016394.0,F. Murray Abraham,Last Action Hero ,106528.0,2407.0,Joan Plowright,1.0,action hero|hero|magic|ticket|video store,257.0,USA,PG-13,70000000.0,1993.0,442.0,6.2,0.0,-19983606.0,-28.548008571428575
417,Rob Marshall,229.0,145.0,252.0,210.0,Mako,879.0,57010853.0,Li Gong,Memoirs of a Geisha ,119286.0,2380.0,Karl Yune,1.0,coming of age|geisha|japan|jealousy|love,548.0,USA,PG-13,85000000.0,2005.0,691.0,7.3,0.0,-27989147.0,-32.928408235294114
418,Justin Lin,158.0,104.0,681.0,159.0,Zachery Ty Bryan,584.0,62494975.0,Amber Stevens West,The Fast and the Furious: Tokyo Drift ,179500.0,1235.0,Nikki Griffin,5.0,car|challenge|drift racing|drifting|tokyo japan,378.0,USA,PG-13,85000000.0,2006.0,227.0,6.0,0.0,-22505025.0,-26.476499999999998
419,Sarah Smith,190.0,97.0,6.0,561.0,Imelda Staunton,1000.0,46440491.0,Jim Broadbent,Arthur Christmas ,35446.0,2707.0,Michael Palin,1.0,christmas|christmas eve|elf|high tech|resentment,78.0,UK,PG,100000000.0,2011.0,579.0,7.1,0.0,-53559509.0,-53.559509000000006
420,Martin Brest,98.0,178.0,102.0,551.0,Brad Pitt,12000.0,44606335.0,Anthony Hopkins,Meet Joe Black ,169023.0,23950.0,Jake Weber,0.0,birthday|death|death personified|fear of death|wealth,703.0,USA,PG-13,90000000.0,1998.0,11000.0,7.1,10000.0,-45393665.0,-50.43740555555556
421,Andrew Davis,135.0,108.0,99.0,172.0,Rick Worthy,672.0,40048332.0,Raymond Cruz,Collateral Damage ,61417.0,1460.0,Jsu Garcia,1.0,bare chested boy|car explosion|colombia|explosion|terrorism,339.0,USA,R,85000000.0,2002.0,174.0,5.5,941.0,-44951668.0,-52.88431529411765
422,Bob Fosse,84.0,123.0,189.0,87.0,Ben Vereen,813.0,0.0,Roy Scheider,All That Jazz ,19228.0,1476.0,Max Wright,0.0,dancer|editing|stand up comedian|surgery|vomiting,146.0,USA,R,0.0,1979.0,388.0,7.8,0.0,0.0,0.0
423,Tarsem Singh,382.0,106.0,763.0,809.0,Nathan Lane,8000.0,64933670.0,Julia Roberts,Mirror Mirror ,70838.0,11454.0,Danny Woodburn,1.0,kingdom|prince|princess|queen|snow,208.0,USA,PG,85000000.0,2012.0,886.0,5.6,18000.0,-20066330.0,-23.60744705882353
424,Edgar Wright,393.0,112.0,1000.0,719.0,Kieran Culkin,10000.0,31494270.0,Anna Kendrick,Scott Pilgrim vs. the World ,273921.0,12687.0,Ellen Wong,0.0,band|dating|high school|hipster|rock band,522.0,USA,PG-13,60000000.0,2010.0,1000.0,7.5,36000.0,-28505730.0,-47.50955
425,Jon Amiel,149.0,135.0,36.0,106.0,Tchéky Karyo,894.0,31111260.0,Glenn Morshower,The Core ,77029.0,1439.0,Rekha Sharma,0.0,core|earth|natural disaster|pacemaker|scientist,466.0,USA,PG-13,60000000.0,2003.0,345.0,5.4,0.0,-28888740.0,-48.1479
426,Peter Segal,94.0,109.0,88.0,571.0,Janet Jackson,611.0,123307945.0,Larry Miller,Nutty Professor II: The Klumps ,39391.0,2818.0,Chris Elliott,1.0,alter ego|marriage|professor|scientist|serum,171.0,USA,PG-13,65000000.0,2000.0,592.0,4.3,374.0,58307945.0,89.70453076923077
427,Raja Gosnell,138.0,86.0,67.0,271.0,Linda Cardellini,4000.0,153288182.0,Sarah Michelle Gellar,Scooby-Doo ,71424.0,6355.0,Miguel A. Núñez Jr.,3.0,amusement park|island|motorcycle|scooby doo|tough girl,521.0,USA,PG,84000000.0,2002.0,2000.0,4.9,0.0,69288182.0,82.48593095238095
